인천광역시,계양구,계산중학교 운동장,7531,126.74254973393127,37.53422313648946,
인천광역시,계양구,계산1공원,1013,126.72372826589428,37.54276511565014,
인천광역시,계양구,안산초등학교 운동장,5674,126.73233681314626,37.54429817131304,
인천광역시,계양구,안남공원,1226,126.7272182119532,37.54126578269184,
인천광역시,계양구,계양교통공원,17864,126.74280221857295,37.53745566510769,
인천광역시,계양구,부현초등학교 운동장,5489,126.73147715859359,37.536140001525226,
인천광역시,계양구,해서초등학교 운동장,3496,126.71770962156998,37.5399765303446,
인천광역시,계양구,계산고등학교 운동장,5082,126.72970987360682,37.54695983565998,
인천광역시,계양구,부현동초등학교 운동장,5086,126.74059112592185,37.534381474891276,
인천광역시,계양구,안남중학교 운동장,5592,126.730969,37.538882,
인천광역시,계양구,고향골공원,1258,126.71954434159868,37.54059406832261,
인천광역시,계양구,부평초등학교 운동장,5422,126.72405819390055,37.541964757002816,
인천광역시,계양구,안남초등학교 운동장,4823,126.73243009780408,37.54067766758208,
인천광역시,계양구,북인천중학교 운동장,3816,126.71721590747704,37.541955739038514,
인천광역시,계양구,개나리공원,529,126.73264001967271,37.53848238820624,
인천광역시,계양구,부일공원,992,126.72323871629044,37.5447919042083,
인천광역시,계양구,계산여자중학교 운동장,3953,126.73289970050452,37.5358538873079,
인천광역시,계양구,효성초등학교 운동장,5417,126.71066079823592,37.53639659520937,
인천광역시,계양구,효성동초등학교 운동장,4549,126.71645594799364,37.53289668282896,
인천광역시,계양구,경인교대부설초등학교 운동장,3100,126.71223386752722,37.537179056320355,
인천광역시,계양구,효성남초등학교 운동장,2745,126.71616222209016,37.52838127835077,
인천광역시,계양구,효성고등학교 운동장,3460,126.71523156375982,37.53181704479623,
인천광역시,계양구,명현초등학교 운동장,1398,126.71261281807953,37.531803043006505,
인천광역시,계양구,효성중학교 운동장,3576,126.71078737706146,37.53738047467527,
인천광역시,계양구,북인천여자중학교 운동장,8022,126.70108243796639,37.52669250734774,
인천광역시,계양구,이촌근린공원,19320,126.712565,37.536463,
인천광역시,계양구,명현중학교 운동장,3811,126.71380104389773,37.531821981282675,
대구광역시,달성군,포산중학교운동장,4118,128.45853238981113,35.695987598983514,
경상북도,영양군,일월초등학교 청기분교 운동장,7018,129.0589486140201,36.699530564118426,
대구광역시,달성군,포산고등학교운동장,15270,128.44650784377154,35.690370073114636,
대구광역시,달성군,현풍고등학교운동장,20139,128.43660969550183,35.697925845145726,
인천광역시,부평구,미산초등학교 운동장,1742,126.70981304003321,37.50451959773743,
인천광역시,부평구,마장공원,9087,126.7075500739829,37.500668737692784,
인천광역시,부평구,산곡초등학교 운동장,3484,126.70184349952176,37.50723382031135,
인천광역시,부평구,마곡초등학교 운동장,2831,126.69787964160088,37.51143934364178,
인천광역시,부평구,동암중학교 운동장,4179,126.7046,37.4798,
인천광역시,부평구,인천하정초등학교운동장,4291,126.7006,37.4751,
인천광역시,부평구,인천동암초등학교 운동장,6928,126.7073,37.4714,
인천광역시,부평구,하정공원(85호공원),907,126.70090283204065,37.473720471320625,
인천광역시,부평구,동암공원,401,126.70407117316194,37.46983019292962,
